	Name	Tags	Type	Source Zone	Source Address	Source User	Source Device	Destination Zone	Destination Address	Destination Device	Application	Service	Action	Profile	Options	Rule Usage Hit Count	Rule Usage Last Hit	Rule Usage First Hit	Rule Usage Apps Seen	Days With No New Apps	Modified	Created	Disbaled
34	FIREWALL_UPDATES	LAN-WAN	universal	LAN	10.11.160.0/24;10.11.210.0/24;10.11.240.95/32	any	any	WAN	any	any	dns;paloalto-device-telemetry;paloalto-dlp-service;paloalto-dns-security;paloalto-iot-security;paloalto-shared-services;paloalto-updates;paloalto-user-context;paloalto-wildfire-cloud;pan-db-cloud;ssl;syslog;traceroute	application-default	Allow	Profile Group: RDCC	Traffic log sent at session end	5188609	27-05-2026 18:22	16-04-2025 18:26	11	46	14-09-2025 12:47	15-04-2025 20:02	
35	LAN-MPLS-1	LAN-MPLS	universal	LAN	172.29.100.12/32	any	any	MPLS	10.110.110.241/32;10.110.110.242/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	5064	24-04-2026 16:45	16-04-2025 18:46	3	325	03-05-2025 12:50	16-04-2025 18:36	
36	LAN-MPLS-2	LAN-MPLS	universal	LAN	10.11.240.71/32	any	any	MPLS	10.10.240.73/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	0	-	-	-	-	03-05-2025 12:50	17-04-2025 15:14	
37	LAN-MPLS-2_SOC	LAN-MPLS	universal	LAN	10.11.210.0/24;10.11.240.0/24;10.11.250.0/24;192.168.110.141/32;192.168.130.151/32	any	any	MPLS	DC_SOC_LOGGER	any	icmp;ping;syslog;traceroute	application-default	Allow	Profile Group: RDCC	Traffic log sent at session end	3551648	06-06-2026 12:41	16-04-2025 19:01	2	192	26-11-2025 12:28	16-04-2025 19:01	
38	MPLS-LAN-1	MPLS-LAN	universal	MPLS	10.10.240.0/24;10.110.110.161	any	any	LAN	10.11.250.21/24	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	93902	17-05-2025 18:35	16-04-2025 18:45	3	389	03-05-2025 12:50	16-04-2025 18:31	
39	LAN-WAN-1	LAN-WAN	universal	LAN	10.11.150.1/32;172.29.100.0/24	any	any	WAN	any	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	2275170	06-06-2026 12:42	17-04-2025 12:36	49	21	03-05-2025 12:50	17-04-2025 12:36	
40	LAN-WAN-2	LAN-WAN	universal	LAN	10.11.240.0/24	any	any	WAN	172.29.10.102/32;192.168.1.0/24	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	86457	06-06-2026 12:39	30-04-2025 12:08	1	402	03-05-2025 12:50	29-04-2025 19:31	
41	LAN-WAN-3	LAN-WAN	universal	LAN	172.29.170.0/24;172.29.190.0/24;192.168.110.0/24;192.168.115.0/24;192.168.130.0/24	any	any	WAN	172.2.19.200/32;172.29.17.47/32;172.29.17.175/32;172.29.19.203/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	0	-	-	-	-	30-04-2025 12:07	29-04-2025 19:31	
42	Nutanix Node Internet Acces	LAN-WAN	universal	LAN	10.11.240.66/32;10.11.240.67/32;10.11.240.68/32	any	any	WAN	any	any	ntp;ssl;syslog	any	Allow	Profile Group: RDCC	Traffic log sent at session end	1939066	06-06-2026 12:41	27-06-2025 16:19	2	265	14-09-2025 12:36	27-06-2025 16:05	
43	[Disabled]  LAN-WAN	[Disabled]  LAN-WAN	[Disabled] universal	[Disabled]  LAN	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  WAN	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  any	[Disabled]  Allow	none	Traffic log sent at session end	5848	03-05-2025 12:02	17-04-2025 12:37	19	403	03-05-2025 15:05	08-04-2025 00:46	
44	LAN-MPLS-3	LAN-MPLS	universal	LAN	10.11.210.0/24;10.11.240.0/24;172.29.90.0/24;172.29.150.0/24;172.29.160.0/24;172.29.170.0/24;172.29.190.0/24;192.168.110.0/24;192.168.130.0/24;192.168.200.0/24	any	any	MPLS	172.29.19.102/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	12	26-11-2025 12:13	26-11-2025 12:08	1	192	30-04-2025 12:07	29-04-2025 19:31	
